order_id,date,customer_id,product_category,product_name,quantity,unit_price,total_revenue,region,customer_segment,discount_pct,is_returned
ORD-00423,2023-01-04,CUST-0053,Clothing,Compression Socks,5.0,76.27,361.9,North,Budget,5.1,0
ORD-00052,2023-01-06,CUST-0004,Electronics,Wireless Earbuds,2.0,43.75,74.9,North,Premium,14.4,0
ORD-00395,2023-01-09,CUST-0081,Sports,Foam Roller,4.0,10.41,37.6,East,Standard,9.7,0
ORD-00205,2023-01-10,CUST-0012,Electronics,4K Monitor,3.0,128.62,385.86,East,Budget,0.0,0
ORD-00239,2023-01-13,CUST-0021,Electronics,SSD External 1TB,5.0,25.48,127.4,West,Premium,0.0,0
ORD-00270,2023-01-15,CUST-0053,Home & Garden,LED String Lights,4.0,11.75,47.0,Central,Premium,0.0,0
ORD-00136,2023-01-16,CUST-0003,Clothing,Merino Wool Sweater,2.0,69.37,117.65,North,Standard,15.2,0
ORD-00150,2023-01-16,CUST-0001,Books,SQL Cookbook,2.0,17.28,25.33,East,Standard,26.7,0
ORD-00085,2023-01-16,CUST-0124,Books,Thinking in Systems,5.0,18.13,75.96,East,Premium,16.2,0
ORD-00227,2023-01-18,CUST-0009,Clothing,Canvas Backpack,2.0,85.35,170.7,North,Standard,0.0,0
ORD-00415,2023-01-21,CUST-0145,Electronics,Webcam HD,1.0,92.85,92.85,East,Budget,0.0,0
ORD-00069,2023-01-22,CUST-0019,Electronics,Wireless Earbuds,1.0,110.81,100.17,East,Standard,9.6,0
ORD-00422,2023-01-25,CUST-0104,Home & Garden,Kitchen Scale Digital,3.0,47.15,141.45,North,Budget,0.0,0
ORD-00485,2023-01-25,CUST-0004,Home & Garden,Throw Pillow Cover,4.0,20.93,83.72,North,Standard,0.0,0
ORD-00164,2023-01-26,CUST-0002,Electronics,USB-C Hub,3.0,165.73,497.19,North,Standard,0.0,0
ORD-00435,2023-01-28,CUST-0085,Electronics,4K Monitor,2.0,71.34,142.68,West,Premium,0.0,0
ORD-00125,2023-01-29,CUST-0143,Clothing,Winter Jacket,4.0,46.0,184.0,North,Standard,0.0,0
ORD-00451,2023-01-29,CUST-0039,Sports,Jump Rope Speed,5.0,16.37,71.86,Central,Standard,12.2,0
